prolific_id,id,question,response,expected,trial_name,trial_number
5ee454ad40c72e152991826e,not-red-yellow,NA,ynr,ynr,attention_check,1
5ee454ad40c72e152991826e,not-yellow-red,NA,rny,rny,attention_check,2
5ee454ad40c72e152991826e,red-yellow,NA,both,both,attention_check,3
5df009be35886f068d794ebd,not-red-yellow,NA,ynr,ynr,attention_check,1
5df009be35886f068d794ebd,not-yellow-red,NA,rny,rny,attention_check,2
5df009be35886f068d794ebd,red-yellow,NA,both,both,attention_check,3
5ea98a3faafdd809224b48ec,not-red-yellow,NA,ynr,ynr,attention_check,1
5ea98a3faafdd809224b48ec,not-yellow-red,NA,rny,rny,attention_check,2
5ea98a3faafdd809224b48ec,red-yellow,NA,both,both,attention_check,3
5fc0488da7ba234c771ef4b5,not-red-yellow,NA,ynr,ynr,attention_check,1
5fc0488da7ba234c771ef4b5,not-yellow-red,NA,rny,rny,attention_check,2
5fc0488da7ba234c771ef4b5,red-yellow,NA,both,both,attention_check,3
5f306667868c4611c0f396f8,not-red-yellow,NA,ynr,ynr,attention_check,1
5f306667868c4611c0f396f8,not-yellow-red,NA,rny,rny,attention_check,2
5f306667868c4611c0f396f8,red-yellow,NA,both,both,attention_check,3
5f29eff59714081a3594a331,not-red-yellow,NA,ynr,ynr,attention_check,1
5f29eff59714081a3594a331,not-yellow-red,NA,rny,rny,attention_check,2
5f29eff59714081a3594a331,red-yellow,NA,both,both,attention_check,3
5f23a915346e5518152596ff,not-red-yellow,NA,ynr,ynr,attention_check,1
5f23a915346e5518152596ff,not-yellow-red,NA,rny,rny,attention_check,2
5f23a915346e5518152596ff,red-yellow,NA,both,both,attention_check,3
5ffa01eb7dfb43387a868196,not-red-yellow,NA,ynr,ynr,attention_check,1
5ffa01eb7dfb43387a868196,not-yellow-red,NA,rny,rny,attention_check,2
5ffa01eb7dfb43387a868196,red-yellow,NA,both,both,attention_check,3
5cfea2427b91e70001423ffb,not-red-yellow,NA,ynr,ynr,attention_check,1
5cfea2427b91e70001423ffb,not-yellow-red,NA,rny,rny,attention_check,2
5cfea2427b91e70001423ffb,red-yellow,NA,both,both,attention_check,3
5f51928b9cd7773e67c1f84a,not-red-yellow,NA,ynr,ynr,attention_check,1
5f51928b9cd7773e67c1f84a,not-yellow-red,NA,rny,rny,attention_check,2
5f51928b9cd7773e67c1f84a,red-yellow,NA,both,both,attention_check,3
562b02d19e2b900005006dce,not-red-yellow,NA,ynr,ynr,attention_check,1
562b02d19e2b900005006dce,not-yellow-red,NA,rny,rny,attention_check,2
562b02d19e2b900005006dce,red-yellow,NA,both,both,attention_check,3
5b91dced1dda7800018d0a5b,not-red-yellow,NA,ynr,ynr,attention_check,1
5b91dced1dda7800018d0a5b,not-yellow-red,NA,rny,rny,attention_check,2
5b91dced1dda7800018d0a5b,red-yellow,NA,both,both,attention_check,3
5f11f8e0d0d9fa0f16e83da4,not-red-yellow,NA,ynr,ynr,attention_check,1
5f11f8e0d0d9fa0f16e83da4,not-yellow-red,NA,rny,rny,attention_check,2
5f11f8e0d0d9fa0f16e83da4,red-yellow,NA,both,both,attention_check,3
5fd9f6e4f0fc1a54e3e8e4fb,not-red-yellow,NA,ynr,ynr,attention_check,1
5fd9f6e4f0fc1a54e3e8e4fb,not-yellow-red,NA,rny,rny,attention_check,2
5fd9f6e4f0fc1a54e3e8e4fb,red-yellow,NA,both,both,attention_check,3
5c5898e49fcbc40001dcbc42,not-red-yellow,NA,ynr,ynr,attention_check,1
5c5898e49fcbc40001dcbc42,not-yellow-red,NA,rny,rny,attention_check,2
5c5898e49fcbc40001dcbc42,red-yellow,NA,both,both,attention_check,3
5fef2e26520dd124f6240e0f,not-red-yellow,NA,ynr,ynr,attention_check,1
5fef2e26520dd124f6240e0f,not-yellow-red,NA,rny,rny,attention_check,2
5fef2e26520dd124f6240e0f,red-yellow,NA,both,both,attention_check,3
5e6a11b646df0b0008647b87,not-red-yellow,NA,ynr,ynr,attention_check,1
5e6a11b646df0b0008647b87,not-yellow-red,NA,rny,rny,attention_check,2
5e6a11b646df0b0008647b87,red-yellow,NA,both,both,attention_check,3
